"","identifier","chromosome_name","start_position","end_position","strand","ensembl_gene_id","hgnc_symbol"
"37","loop_1038","1",179099330,179229684,-1,"ENSG00000143322, ENSG00000234041, ENSG00000231905, ENSG00000212338, ENSG00000201619, ENSG00000231564, ENSG00000225711, ENSG00000223794, ENSG00000228191, ENSG00000057252, ENSG00000162779","ABL2,  SETP10, EIF4A1P11, COX5BP8, SOAT1, AXDND1"
"38","loop_1039","X",43279489,43438662,1,"ENSG00000285899, ENSG00000231750, ENSG00000189221","NANOGP10, MAOA"
"39","loop_104","17",56593699,56595611,1,"ENSG00000183691, ENSG00000308879, ENSG00000302047","NOG"
"40","loop_1040","17",80415165,80438086,1,"ENSG00000173818, ENSG00000260369, ENSG00000296743, ENSG00000279273, ENSG00000171246, ENSG00000290024, ENSG00000301193, ENSG00000262000, ENSG00000271340, ENSG00000213128, ENSG00000141564, ENSG00000289764, ENSG00000310008, ENSG00000232083, ENSG00000299917, ENSG00000262833, ENSG00000287403, ENSG00000297677, ENSG00000262313, ENSG00000262662, ENSG00000261924, ENSG00000240270","ENDOV,  NPTX1, RPL32P31, RPTOR, RPL31P7, RPL12P37"
"41","loop_1041","11",30830369,31369810,-1,"ENSG00000170959, ENSG00000301603, ENSG00000255370, ENSG00000255525, ENSG00000170946, ENSG00000307501, ENSG00000148950, ENSG00000109911, ENSG00000228061, ENSG00000007372, ENSG00000281880, ENSG00000285283, ENSG00000254584, ENSG00000295952, ENSG00000254627, ENSG00000212551, ENSG00000255490, ENSG00000049449, ENSG00000255252, ENSG00000227160, ENSG00000255375","DCDC1,  CYCSP25, DNAJC24, IMMP1L, ELP4, PAX6, PAUPAR, LINC03031, EIF4A2P5, RCN1, THEM7P"
"42","loop_1042","7",119495024,119950825,-1,"ENSG00000225546, ENSG00000271739, ENSG00000233417, ENSG00000233969, ENSG00000309549, ENSG00000184408","LINC02476, RNU1-29P,  KCND2"
"43","loop_1044","5",148446042,148677235,-1,"ENSG00000164270, ENSG00000300418, ENSG00000253297, ENSG00000303337, ENSG00000303969, ENSG00000169252, ENSG00000303982, ENSG00000289430, ENSG00000303997, ENSG00000169247, ENSG00000272411","HTR4,  ADRB2, SH3TC2"
"44","loop_1045","3",47802909,47850195,1,"ENSG00000132153, ENSG00000221585, ENSG00000047849, ENSG00000301861, ENSG00000199591, ENSG00000224895, ENSG00000270285, ENSG00000302863, ENSG00000265078, ENSG00000236768, ENSG00000302881, ENSG00000164045","DHX30, MIR1226, MAP4,  VPS26BP1, RPS27P30, RN7SL664P, RPL17P16, CDC25A"
"45","loop_1047","X",101597244,101599486,-1,"ENSG00000302677, ENSG00000204072, ENSG00000290908, ENSG00000198960, ENSG00000102401, ENSG00000228275, ENSG00000261101, ENSG00000207291, ENSG00000286000, ENSG00000302702, ENSG00000184867, ENSG00000302652, ENSG00000223753, ENSG00000212584, ENSG00000229090, ENSG00000178146","ARMCX7P, ARMCX6, ARMCX3, ARMCX3-AS1, RNU6-30P, ARMCX2, RNU6-587P, GK4P"
"46","loop_1048","15",48823741,48963919,-1,"ENSG00000185634, ENSG00000255302, ENSG00000259602, ENSG00000259500, ENSG00000310075, ENSG00000310091, ENSG00000138593, ENSG00000207105, ENSG00000265942, ENSG00000259656, ENSG00000166200, ENSG00000200120","SHC4, EID1,  KRT8P24, SECISBP2L, RN7SL577P, COPS2"
"47","loop_1049","10",48306639,48439360,1,"ENSG00000107643, ENSG00000303458, ENSG00000279822, ENSG00000128805, ENSG00000248682, ENSG00000231906, ENSG00000251413","MAPK8,  ARHGAP22, ARHGAP22-IT1, COX7BP6"
"48","loop_105","17",66302613,66810743,1,"ENSG00000154229, ENSG00000207943, ENSG00000075429, ENSG00000251764","PRKCA, MIR634, CACNG5, RNA5SP446"
"49","loop_1050","9",122144058,122159779,-1,"ENSG00000119421, ENSG00000185681, ENSG00000106852, ENSG00000119446, ENSG00000148187, ENSG00000095303, ENSG00000269970, ENSG00000233616, ENSG00000234156, ENSG00000136834, ENSG00000197233, ENSG00000239590, ENSG00000171505, ENSG00000171501, ENSG00000171496, ENSG00000228914, ENSG00000165202, ENSG00000280094, ENSG00000173679, ENSG00000171481, ENSG00000226783, ENSG00000136939, ENSG00000171459, ENSG00000232387, ENSG00000148215, ENSG00000136940, ENSG00000165204","NDUFA8, MORN5, LHX6, RBM18, MRRF, PTGS1,  OR1J1, OR1J2, OR1J4, OR1N1, OR1N2, OR1L8, OR1H1P, OR1Q1, OR1B1, OR1L1, OR1L3, TLK1P1, OR1L4, OR1L6, SKA2P1, OR5C1, PDCL, OR1K1"
"50","loop_1051","3",124033369,124726325,1,"ENSG00000160145, ENSG00000304375, ENSG00000288713, ENSG00000260391, ENSG00000114491, ENSG00000265981, ENSG00000242199, ENSG00000082781, ENSG00000244286, ENSG00000280042, ENSG00000276626, ENSG00000243986","KALRN,  UMPS, MIR544B, RPS26P22, ITGB5, ITGB5-AS1, ENO1P3"
"51","loop_1052","3",135965728,136147894,1,"ENSG00000073711, ENSG00000273455, ENSG00000174579, ENSG00000241438, ENSG00000244740, ENSG00000114054, ENSG00000118007, ENSG00000200571, ENSG00000244101, ENSG00000252914, ENSG00000240695, ENSG00000261758","PPP2R3A,  MSL2, CRIPTOP6, RPL31P23, PCCB, STAG1, RNU6-1284P, HMGN1P10, RNU6-789P, DNAJC8P2, STAG1-DT"
"52","loop_1053","1",48096092,48182428,-1,"ENSG00000290466, ENSG00000279096, ENSG00000242267, ENSG00000223720, ENSG00000117834, ENSG00000272491, ENSG00000308343, ENSG00000279214, ENSG00000132122, ENSG00000224986, ENSG00000206700, ENSG00000235105, ENSG00000223175, ENSG00000308324, ENSG00000232514","SKINT1L, SLC5A9, SPATA6, PPP1R8P1, RNU6-723P, RNU4-61P, RPL21P25"
"53","loop_1056","12",65278643,65491430,1,"ENSG00000174099, ENSG00000215208, ENSG00000250748, ENSG00000304178, ENSG00000304153, ENSG00000255866, ENSG00000256268, ENSG00000256915, ENSG00000296964, ENSG00000213344, ENSG00000293176, ENSG00000304812, ENSG00000304833, ENSG00000241749, ENSG00000149948, ENSG00000277945, ENSG00000197301, ENSG00000256083, ENSG00000296369, ENSG00000276878, ENSG00000256259, ENSG00000213343, ENSG00000251857","MSRB3, KRT18P60, MSRB3-AS1,  LINC02454, PCNPP3, RPSAP52, HMGA2, HMGA2-AS1, MIR6074, LINC02425, RPL21P18, RNA5SP362"
"54","loop_1057","11",70467854,71252577,-1,"ENSG00000162105, ENSG00000227726, ENSG00000308376, ENSG00000279459, ENSG00000226627, ENSG00000207196, ENSG00000280089, ENSG00000171671, ENSG00000263744, ENSG00000286708, ENSG00000300679, ENSG00000302229, ENSG00000306764, ENSG00000293435, ENSG00000172900","SHANK2,  SHANK2-AS1, SHANK2-AS3, MIR3664, ACTE1P"
"55","loop_1058","11",126355640,126440344,1,"ENSG00000110080, ENSG00000149571, ENSG00000303243, ENSG00000257271, ENSG00000254607, ENSG00000295928, ENSG00000254938, ENSG00000279358, ENSG00000254960, ENSG00000266215","ST3GAL4, KIRREL3,  KIRREL3-AS1, KIRREL3-AS2, MIR3167"
"56","loop_1059","6",56457987,56954830,-1,"ENSG00000151914, ENSG00000200224, ENSG00000151917, ENSG00000219790, ENSG00000218980, ENSG00000276576, ENSG00000168116, ENSG00000112200, ENSG00000226803, ENSG00000112208, ENSG00000307695, ENSG00000112210, ENSG00000146143","DST, RNU6-626P, BEND6, OSTCP6, FTH1P15, MRPL30P1, KIAA1586, ZNF451, ZNF451-AS1, BAG2,  RAB23, PRIM2"
"57","loop_106","17",76081016,76121576,-1,"ENSG00000182473, ENSG00000302320, ENSG00000129654, ENSG00000267128, ENSG00000141576, ENSG00000267376, ENSG00000228218, ENSG00000308644, ENSG00000308657, ENSG00000185262, ENSG00000296966, ENSG00000129646","EXOC7,  FOXJ1, RNF157-AS1, RNF157, ATP5MGP6, ATF4P3, UBALD2, QRICH2"
"58","loop_1061","2",71453561,71686763,1,"ENSG00000135636, ENSG00000303319, ENSG00000308700, ENSG00000300545, ENSG00000300567, ENSG00000233971, ENSG00000003137","DYSF,  RPS20P10, CYP26B1"
"59","loop_1062","18",42084262,42115632,-1,"ENSG00000287007, ENSG00000267586, ENSG00000253040, ENSG00000298188, ENSG00000286976, ENSG00000152214, ENSG00000287209, ENSG00000132872","LINC00907, RNA5SP454, RIT2, SYT4"
"60","loop_1063","18",42084262,42115632,-1,"ENSG00000287007, ENSG00000267586, ENSG00000253040, ENSG00000298188, ENSG00000286976, ENSG00000152214, ENSG00000287209, ENSG00000132872, ENSG00000299854, ENSG00000278933","LINC00907, RNA5SP454, RIT2, SYT4"
"61","loop_1064","14",65379746,65413710,-1,"ENSG00000300981, ENSG00000033170, ENSG00000276116, ENSG00000180662, ENSG00000207781, ENSG00000258980","FUT8, FUT8-AS1, RPL21P8, MIR625, EIF1AXP2"
"62","loop_1065","14",94726288,94727175,1,"ENSG00000239269, ENSG00000133937, ENSG00000285205, ENSG00000240914, ENSG00000298101, ENSG00000306730, ENSG00000274379, ENSG00000258933, ENSG00000296022, ENSG00000258866, ENSG00000100697, ENSG00000264607, ENSG00000235706, ENSG00000165959, ENSG00000259143, ENSG00000258615, ENSG00000287111, ENSG00000258630, ENSG00000305387, ENSG00000308583, ENSG00000298453, ENSG00000301658, ENSG00000176438","RPSAP4, GSC,  RPL15P2, LINC02279, DICER1, MIR3173, DICER1-AS1, CLMN, LINC02292, SYNE3"
"63","loop_1066","8",1735453,1755952,-1,"ENSG00000295026, ENSG00000295066, ENSG00000182372, ENSG00000253982, ENSG00000283239, ENSG00000287464, ENSG00000283858, ENSG00000207826, ENSG00000104728, ENSG00000303852, ENSG00000304200, ENSG00000285957, ENSG00000253696, ENSG00000253764, ENSG00000176595, ENSG00000270988, ENSG00000289473","CLN8, CLN8-AS1, MIR3674, MIR596, ARHGEF10, KBTBD11-OT1, KBTBD11-AS1, KBTBD11"
"64","loop_1067","8",96261902,96336995,1,"ENSG00000156471, ENSG00000253105, ENSG00000298183, ENSG00000302579, ENSG00000202095, ENSG00000169439, ENSG00000104324, ENSG00000272249, ENSG00000270077, ENSG00000304537, ENSG00000260640, ENSG00000293849, ENSG00000180543, ENSG00000299320, ENSG00000306089, ENSG00000301520, ENSG00000207215, ENSG00000309049","PTDSS1,  RNU6-1172P, SDC2, CPQ, TSPYL5, SNORD3H"
"65","loop_1068","8",132120861,132481095,-1,"ENSG00000184156, ENSG00000300942, ENSG00000298946, ENSG00000297824, ENSG00000253521, ENSG00000129295","KCNQ3,  HPYR1, DNAAF11"
"66","loop_1069","2",200510008,200584096,1,"ENSG00000163535, ENSG00000138356, ENSG00000244301, ENSG00000284084, ENSG00000237166, ENSG00000302340, ENSG00000243478, ENSG00000290906, ENSG00000230408, ENSG00000201737, ENSG00000082153, ENSG00000305286","SGO2, AOX1, AOX3P, AOX3P-AOX2P, LINC01792,  AOX2P, BZW1-AS1, RNU1-133P, BZW1"
"67","loop_107","18",12377676,12403700,1,"ENSG00000296872, ENSG00000251937, ENSG00000141391, ENSG00000301435, ENSG00000267108, ENSG00000267199, ENSG00000134278, ENSG00000267515, ENSG00000128789","RNU7-129P, PRELID3A, SPIRE1, PSMG2"
"68","loop_1070","2",204545475,205620162,1,"ENSG00000116117, ENSG00000303132, ENSG00000118257, ENSG00000294037, ENSG00000225216, ENSG00000300670, ENSG00000301106, ENSG00000201875","PARD3B,  NRP2, NRP2-AS1, RN7SKP178"
"69","loop_1072","8",116766505,116849463,1,"ENSG00000147679, ENSG00000164754, ENSG00000253327, ENSG00000283956, ENSG00000300083, ENSG00000205002, ENSG00000300101, ENSG00000300123, ENSG00000164756, ENSG00000244033, ENSG00000253271, ENSG00000253622, ENSG00000240151, ENSG00000286308, ENSG00000298312","UTP23, RAD21, RAD21-AS1, MIR3610,  AARD, SLC30A8, RN7SL228P, RN7SL826P"
"70","loop_1073","5",32226994,32312987,-1,"ENSG00000150712, ENSG00000303975, ENSG00000199731, ENSG00000207052, ENSG00000293806, ENSG00000056097, ENSG00000207956, ENSG00000301647, ENSG00000249142, ENSG00000113387, ENSG00000301671","MTMR12,  RNU6-1079P, RNU6-378P, ZFR, MIR579, TMEM183AP2, SUB1"
"71","loop_1075","4",6727331,6728158,1,"ENSG00000309165, ENSG00000307875, ENSG00000287331, ENSG00000305966, ENSG00000170871, ENSG00000304697, ENSG00000301554, ENSG00000132405, ENSG00000298757, ENSG00000287104, ENSG00000187904, ENSG00000202392, ENSG00000245748, ENSG00000173013, ENSG00000173011, ENSG00000109519, ENSG00000306685, ENSG00000294523","KIAA0232, TBC1D14, RN7SKP292, CFAP184, TADA2B, GRPEL1"
"72","loop_1076","2",164653624,164843679,-1,"ENSG00000082438, ENSG00000236283, ENSG00000199508, ENSG00000169507, ENSG00000223318, ENSG00000305100, ENSG00000153253, ENSG00000136531","COBLL1,  RNA5SP110, SLC38A11, RNA5SP111, SCN3A, SCN2A"
"73","loop_1077","1",22117313,22143969,-1,"ENSG00000162552, ENSG00000285873, ENSG00000294752, ENSG00000266564, ENSG00000294164, ENSG00000302675, ENSG00000234397, ENSG00000279625, ENSG00000299881, ENSG00000184677, ENSG00000302246, ENSG00000237200, ENSG00000070886, ENSG00000276835, ENSG00000173372, ENSG00000289692, ENSG00000159189","WNT4,  MIR4418, PPIAP34, ZBTB40, ZBTB40-IT1, EPHA8, MIR6127, C1QA, C1QC"
"74","loop_1078","20",4627758,4685148,-1,"ENSG00000293214, ENSG00000226948, ENSG00000171867, ENSG00000171864, ENSG00000180259, ENSG00000231071, ENSG00000278595, ENSG00000101265, ENSG00000294006, ENSG00000089057, ENSG00000252096, ENSG00000297348","RPS4XP2, PRNP, PRND, PRNT, IDI1P3, RASSF2, SLC23A2"
"75","loop_1079","9",75318897,75320884,1,"ENSG00000302339, ENSG00000301354, ENSG00000235707, ENSG00000236376, ENSG00000234644, ENSG00000298912, ENSG00000099139, ENSG00000231137","CDCA7P2, OTX2P1, PCSK5, RBM22P5"
"76","loop_108","18",23957746,23982644,-1,"ENSG00000265752, ENSG00000264745, ENSG00000168234, ENSG00000265204, ENSG00000264924","LINC02958, TTC39C-AS1, TTC39C"
"77","loop_1080","3",101779177,101843743,1,"ENSG00000144815, ENSG00000249474, ENSG00000144802, ENSG00000297105, ENSG00000214407, ENSG00000202177, ENSG00000170044, ENSG00000295040","NXPE3,  NFKBIZ, RDUR, ZPLD1"
"78","loop_1081","2",171687409,171750158,1,"ENSG00000077380, ENSG00000115840, ENSG00000252779, ENSG00000128708, ENSG00000172878, ENSG00000288958, ENSG00000144355, ENSG00000115844, ENSG00000236651","DYNC1I2, SLC25A12, RNU6-182P, HAT1, METAP1D,  DLX1, DLX2, DLX2-DT"
